Subregion,Location type,Capacity (m3/d),Unit size (m3/d),Technology,Membrane type (RO),Feedwater,Customer type,Industry,Customer,Plant type,Plant supplier,Plant supplier share,Procurement model,EPC price,Product water salinity,EPC contractor (desal),Equipment supplier : Membranes (Not specified / Other),Holding Company,RO System,RO Feed Pump Drive,RO Membrane Type,RO Pre Treament 1st Stage,Pretreatment
Middle East / North Africa,Land based,200000,,RO (Reverse Osmosis),,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Sonatrach / Sonelgaz,Stand-alone,"Sociedad Anonima Depuracion Y Tratamientos (Sacyr Sadyt), Cobra Group, Valoriza Agua (now Sacyr Water Services)",50,DB,"148,000,000 USD",400,Sociedad Anonima Depuracion Y Tratamientos (Sacyr Sadyt) / Cobra Group / Valoriza Agua (now Sacyr Water Services),,Consortium,,,,Multi-media filtration (MMF),Multi-media filtration (MMF)  
Middle East / North Africa,Land based,5000,2500,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,HYDROTRAITMENT,Stand-alone,"Grupo SETA, S.L.",100,EPC,"12,370,000 USD",,"Grupo SETA, S.L.",,"Grupo SETA, S.L.",Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,5000,5000,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Algerienne Des Eaux,Stand-alone,"Linde-KCA-Dresden GmbH, Strabag",50,EPC,"5,000,000 USD",,Linde-KCA-Dresden GmbH / Strabag,,Consortium,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,4440,1480,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Deutsche Babcock,100,EPC,"4,420,000 USD",,Deutsche Babcock,DuPont (now Dupont Water Solutions),Nippon Steel & Sumitomo Metal Corporation,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,4440,1480,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Hager+Elsasser GmbH,100,EPC,"700,000 USD",,Hager+Elsasser GmbH,DuPont (now Dupont Water Solutions),Aquarion AG,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,1920,1920,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,VA Tech Wabag GmbH,100,EPC,"1,880,000 USD",,VA Tech Wabag GmbH,,VA Tech Wabag Ltd.,Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,200,200,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Degremont ,100,EPC,"210,000 USD",,Degremont ,DuPont (now Dupont Water Solutions),Suez ,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Latin America / Caribbean,Land based,246,246,RO (Reverse Osmosis),,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,K-Club Hotel ,Stand-alone,Culligan International Company,100,EPC,"660,000 USD",,Culligan International Company,,Culligan International Company,Single Pass,Electric Motor,,,  
Latin America / Caribbean,Land based,24000,,RO (Reverse Osmosis),,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Water & Electricity Board (WEB) ARUBA,Stand-alone,Veolia,100,DB,"37,500,000 USD",15,Veolia,,Veolia,Two Pass,,,,  
East Asia / Pacific,Land based,35000,8750,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Power,ECNSW,Stand-alone,Veolia Water Solutions & Technologies - Australia,100,EPC,"24,200,000 USD",,Veolia Water Solutions & Technologies - Australia,,Veolia,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,420,210,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Mining,Worsley,Stand-alone,Veolia Water Solutions & Technologies - Australia,100,EPC,"440,000 USD",,Veolia Water Solutions & Technologies - Australia,,Veolia,,,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,288,288,RO (Reverse Osmosis),Spiral Wound Membrane,Wastewater,Military purposes (TDS 10ppm- <1000ppm),,,Stand-alone,Osmoflo Pty Ltd,100,EPC,"430,000 USD",,Osmoflo Pty Ltd,,Hitachi Zosen Corporation,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,180,180,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Osmoflo Pty Ltd,100,EPC,"480,000 USD",,Osmoflo Pty Ltd,,Hitachi Zosen Corporation,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,140,140,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Osmoflo Pty Ltd,100,EPC,"380,000 USD",,Osmoflo Pty Ltd,,Hitachi Zosen Corporation,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,100,100,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Mining,,Stand-alone,Osmoflo Pty Ltd,100,EPC,"100,000 USD",,Osmoflo Pty Ltd,,Hitachi Zosen Corporation,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Western Europe,Land based,168,168,RO (Reverse Osmosis),,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Hager+Elsasser GmbH,100,EPC,"130,000 USD",,Hager+Elsasser GmbH,,Aquarion AG,Single Pass,Electric Motor,,,  
Eastern Europe / Central Asia,Land based,10598,1514,RO (Reverse Osmosis),,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),Oil & Gas,Machino Import,Stand-alone,Water Services of America (Evoqua),100,EPC,"27,120,000 USD",,Water Services of America (Evoqua),DuPont (now Dupont Water Solutions),"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,,,  
Eastern Europe / Central Asia,Land based,2082,1041,RO (Reverse Osmosis),,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),General,,Stand-alone,Water Services of America (Evoqua),100,EPC,"5,420,000 USD",,Water Services of America (Evoqua),,"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,,,  
Latin America / Caribbean,Land based,1908,1908,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,McCormack,100,EPC,"1,870,000 USD",,McCormack,,McCormack,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Latin America / Caribbean,Land based,1090,218,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,Grand Hotel,Stand-alone,Siemens Water Technologies  ,100,EPC,"1,140,000 USD",,Siemens Water Technologies,,"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,,,  
Latin America / Caribbean,Land based,908,908,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Ajax ,100,EPC,"920,000 USD",,Ajax,Ajax,Ajax,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Latin America / Caribbean,Land based,749,749,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"1,970,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Latin America / Caribbean,Land based,600,300,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,"Matrix Desalination, Inc. ",,EPC,"1,600,000 USD",,,,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Latin America / Caribbean,Land based,600,600,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,"Matrix Desalination, Inc. ",,EPC,"1,590,000 USD",,,,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Latin America / Caribbean,Land based,500,500,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,"Matrix Desalination, Inc. ",,EPC,"1,330,000 USD",,,,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Latin America / Caribbean,Land based,435,435,RO (Reverse Osmosis),,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,GE Osmonics,100,EPC,"1,160,000 USD",,GE Osmonics,,Suez ,Single Pass,Electric Motor,,,  
Latin America / Caribbean,Land based,409,409,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"1,090,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Latin America / Caribbean,Land based,300,300,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Power,ABB Group,Stand-alone,Alfa Laval Process Technology,100,EPC,"310,000 USD",,Alfa Laval Process Technology,,Alfa Laval Process Technology,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Latin America / Caribbean,Land based,273,273,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"730,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Latin America / Caribbean,Land based,227,227,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"610,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Latin America / Caribbean,Land based,189,189,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Military purposes (TDS 10ppm- <1000ppm),,,Stand-alone,"Matrix Desalination, Inc. ",,EPC,"510,000 USD",,,,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Latin America / Caribbean,Land based,114,114,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Specific Equipment Company ,,EPC,"310,000 USD",,,,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Latin America / Caribbean,Land based,113,113,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,"Waterlink, Inc.",100,EPC,"300,000 USD",,"Waterlink, Inc.",Dow Filmtec (now Dupont Water Solutions),Xylem Inc.,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Latin America / Caribbean,Land based,100,100,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,"Matrix Desalination, Inc. ",,EPC,"270,000 USD",,,,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Latin America / Caribbean,Land based,100,100,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Specific Equipment Company ,,EPC,"270,000 USD",,,,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,3217,1608.5,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),,,Stand-alone,Envirogenics,100,EPC,"8,210,000 USD",0,Envirogenics,Envirogenics,Envirogenics,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,1036,1036,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Metals,Aluminium Bahrain,Stand-alone,,,EPC,"1,050,000 USD",,,Dow Filmtec (now Dupont Water Solutions),,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,480,480,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Food & Beverage,Coca Cola,Stand-alone,Metito,100,EPC,"188,000 USD",,Metito,"Toray Industries, Inc.",Metito,Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,400,400,RO (Reverse Osmosis),,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Al Kawther Industries,100,EPC,"1,060,000 USD",,Al Kawther Industries,DuPont (now Dupont Water Solutions),Al Murjan Group,Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,341,341,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Military purposes (TDS 10ppm- <1000ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"350,000 USD",,"Ionics, Inc. ","Ionics, Inc. ",Suez ,Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,341,341,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Military purposes (TDS 10ppm- <1000ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"350,000 USD",,"Ionics, Inc. ","Ionics, Inc. ",Suez ,Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,320,320,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Al Kawther Industries,100,EPC,"330,000 USD",0,Al Kawther Industries,DuPont (now Dupont Water Solutions),Al Murjan Group,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,275,275,RO (Reverse Osmosis),Flat membrane (FM),Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"290,000 USD",,"Ionics, Inc. ","Ionics, Inc. ",Suez ,Single Pass,Electric Motor,Flat membrane (FM),,  
Middle East / North Africa,Land based,265,265,RO (Reverse Osmosis),Flat membrane (FM),Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"280,000 USD",,"Ionics, Inc. ","Ionics, Inc. ",Suez ,Single Pass,Electric Motor,Flat membrane (FM),,  
Middle East / North Africa,Land based,242,242,RO (Reverse Osmosis),Flat membrane (FM),Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,,,EPC,"250,000 USD",0,,Dow Filmtec (now Dupont Water Solutions),,Single Pass,Electric Motor,Flat membrane (FM),,  
Middle East / North Africa,Land based,240,240,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,,,EPC,"250,000 USD",,,Dow Filmtec (now Dupont Water Solutions),,Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,240,240,RO (Reverse Osmosis),Flat membrane (FM),Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"250,000 USD",,"Ionics, Inc. ","Ionics, Inc. ",Suez ,Single Pass,Electric Motor,Flat membrane (FM),,  
Middle East / North Africa,Land based,235,235,RO (Reverse Osmosis),Flat membrane (FM),Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"240,000 USD",,"Ionics, Inc. ","Ionics, Inc. ",Suez ,Single Pass,Electric Motor,Flat membrane (FM),,  
Middle East / North Africa,Land based,230,230,RO (Reverse Osmosis),Flat membrane (FM),Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,,,EPC,"240,000 USD",0,,Dow Filmtec (now Dupont Water Solutions),,Single Pass,Electric Motor,Flat membrane (FM),,  
Middle East / North Africa,Land based,227,227,RO (Reverse Osmosis),Hollow Fibre Membrane,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),,GCS,Stand-alone,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",100,EPC,"610,000 USD",,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",DuPont (now Dupont Water Solutions),Veolia,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,227,227,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),,,Stand-alone,Envirogenics,100,EPC,"610,000 USD",0,Envirogenics,Envirogenics,Envirogenics,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,227,227,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"240,000 USD",,"Ionics, Inc. ","Ionics, Inc. ",Suez ,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,227,227,RO (Reverse Osmosis),Flat membrane (FM),Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"240,000 USD",,"Ionics, Inc. ","Ionics, Inc. ",Suez ,Single Pass,Electric Motor,Flat membrane (FM),,  
Middle East / North Africa,Land based,210,210,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Food & Beverage,,Stand-alone,Sasakura Engineering Co Ltd ,100,EPC,"220,000 USD",,Sasakura Engineering Co Ltd ,Toyobo Co. Ltd.,Sasakura Engineering Co Ltd ,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,189,189,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),,,Stand-alone,Envirogenics,100,EPC,"510,000 USD",,Envirogenics,Envirogenics,Envirogenics,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,175,175,RO (Reverse Osmosis),Flat membrane (FM),Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,,,EPC,"180,000 USD",0,,,,Single Pass,Electric Motor,Flat membrane (FM),,  
Middle East / North Africa,Land based,150,150,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,,,EPC,"160,000 USD",,,Dow Filmtec (now Dupont Water Solutions),,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,114,114,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"120,000 USD",,"Ionics, Inc. ","Ionics, Inc. ",Suez ,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,114,114,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Military purposes (TDS 10ppm- <1000ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"120,000 USD",,"Ionics, Inc. ","Ionics, Inc. ",Suez ,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,114,14.25,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Military purposes (TDS 10ppm- <1000ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"120,000 USD",,"Ionics, Inc. ","Ionics, Inc. ",Suez ,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,113,113,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"120,000 USD",,"Ionics, Inc. ","Ionics, Inc. ",Suez ,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
